Número de identificação da publicação;Link permanente;Publicar mensagem;Tipo;Países;Idiomas;Publicado;Direcionamento do público;Lifetime Post Total Reach;Lifetime Post organic reach;Lifetime Post Paid Reach;Lifetime Post Total Impressions;Lifetime Post Organic Impressions;Lifetime Post Paid Impressions;Lifetime Engaged Users;Lifetime Matched Audience Targeting Consumers on Post;Lifetime Matched Audience Targeting Consumptions on Post;Lifetime Negative Feedback from Users;Lifetime Negative Feedback;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime Post Paid Impressions by people who have liked your Page;Lifetime Paid reach of a post by people who like your Page;Lifetime People who have liked your Page and engaged with your post;Lifetime Organic views to 95%...25;Lifetime Organic views to 95%...26;Lifetime Paid views to 95%...27;Lifetime Paid views to 95%...28;Lifetime Organic Video Views...29;Lifetime Organic Video Views...30;Lifetime Paid Video Views...31;Lifetime Paid Video Views...32;Lifetime Average time video viewed;Lifetime Video length;Descrição;share;like;comment
417092451820846_429479097248848;https://www.facebook.com/lojascitycol/photos/a.418868384976586/429479097248848/?type=3;A musa Maria Joana traz as tendências de verão da Citycol! Essas novidades você não vai perder, não é? Confira aqui o que preparamos: http://on.fb.me/1OGPN1a;Photo;NA;NA;2016-01-04T09:08:04Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;40;3313;40
417092451820846_429478737248884;https://www.facebook.com/lojascitycol/photos/a.429478107248947/429478167248941/?type=3;Verão Citycol #1;Photo;NA;NA;2016-01-04T09:05:16Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
417092451820846_426209047575853;https://www.facebook.com/lojascitycol/photos/a.418868384976586/426209047575853/?type=3;Você consegue adivinhar o que vem por aí? Em breve nossa coleção de verão! ☀👗;Photo;NA;NA;2015-12-23T12:29:46Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;7;1823;9
417092451820846_422538617942896;https://www.facebook.com/lojascitycol/photos/a.418868384976586/422538617942896/?type=3;"Chegamos com mais peças incríveis pra vocês! Estampas e cores do verão continuam dominando os looks ;) E aí, gostaram? Confira aqui: http://on.fb.me/1jSR8Kj #SóNaCitycol";Photo;NA;NA;2015-12-11T05:13:04Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;17;1127;44
417092451820846_422537791276312;https://www.facebook.com/lojascitycol/photos/a.422537397943018/422537671276324/?type=3;Vestido (código 875309);Photo;NA;NA;2015-12-11T05:08:58Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
417092451820846_421594378037320;https://www.facebook.com/lojascitycol/photos/a.418868384976586/421594378037320/?type=3;Estão ansiosas pelos próximos lançamentos? Fiquem ligadas por aqui, porque daqui a pouco teremos mais novidades imperdíveis! #SóNaCitycol;Photo;NA;NA;2015-12-07T12:30:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;56;NA
417092451820846_420792024784222;https://www.facebook.com/lojascitycol/photos/a.418868384976586/420792024784222/?type=3;Nossa oferta de lingerie abrange todas as idades, tamanhos e cores. Com a chegada do verão a moda íntima também tende a ficar mais colorida e alegre.;Photo;NA;NA;2015-12-04T02:22:19Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;311;26
417092451820846_420199728176785;https://www.facebook.com/lojascitycol/photos/a.418868384976586/420199728176785/?type=3;Neste final de ano a tendência mais forte é nas estampas: floridas, de folhagens, étnicas e listradas. As cores são vivas destacando os diversos tons de amarelo, azul, verde, rosa e vermelho além dos clássicos preto e crú. Confira nossas peças aqui: http://on.fb.me/1MUClt2 #SóNaCitycol;Photo;NA;NA;2015-12-01T12:28:21Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;19;3782;39
417092451820846_420166381513453;https://www.facebook.com/lojascitycol/photos/a.420161821513909/420161831513908/?type=3;Regata (código 875351) Saia (código 870062);Photo;NA;NA;2015-12-01T09:06:10Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA
417092451820846_418844471645644;https://www.facebook.com/lojascitycol/photos/a.418868384976586/418844471645644/?type=3;"Já chegamos com tudo por aqui! Se você ama moda e preços maravilhosos, mal pode esperar pelo nosso lançamento de Natal ;) Fique ligada na nossa página pra saber das novidades que vão bombar nesse final de ano! 💃👠🎁#NaCitycolTem";Photo;NA;NA;2015-11-25T13:00:01Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;97;1
417092451820846_418776171652474;https://www.facebook.com/lojascitycol/posts/418776191652472:0;Lojas Citycol;Photo;NA;NA;2015-11-25T04:23:03Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;15;85;2
417092451820846_484948175035273;https://www.facebook.com/lojascitycol/photos/a.418868384976586/484948175035273/?type=3;Porque estilo é a gente que cria! A nossa coleção plus size chegará com tudo nas lojas a partir dessa quinta (16/6), vem conferir e faça a sua própria moda: http://bit.ly/1PsAhrA  #NaCitycolTem;Photo;NA;NA;2016-06-14T15:09:13Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lifetime: The number of stories created about your Page post, by action type. (Total Count);67;5903;176
417092451820846_484928531703904;https://www.facebook.com/lojascitycol/photos/a.484928518370572/484928531703904/?type=3;Blusa R$14,99;Photo;NA;NA;2016-06-14T13:22:09Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;25;1
